T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,4.10425874e-02,2.93374620e-01,8.60779819e+00,4.49471647e+00,1.39898221e-01,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,5.53596089e-02,5.74147738e-01,7.69845632e+00,5.94646200e+00,9.64204946e-02,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,1.87146412e-02,1.50398247e+00,1.20506591e+00,3.80777942e+00,1.24433905e-02,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.55578527e-02,1.95496613e+00,4.34540564e-01,2.60693243e+00,7.95811879e-03,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,1.02658285e-02,2.51784801e+00,1.93993593e-01,1.97675771e+00,4.07722327e-03,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,1.92981944e-01,3.09000420e+00,1.03786957e-01,1.60175437e+00,6.24536187e-02,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,2.93715853e-01,3.58751203e+00,6.39322422e-02,1.35457060e+00,8.18717403e-02,false,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,3.39324906e-01,3.99235989e+00,4.34604086e-02,1.17816668e+00,8.49935666e-02,false,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,4.47118764e-01,4.31438732e+00,3.16367414e-02,1.04496184e+00,1.03634359e-01,false,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,5.39173582e-01,4.57043593e+00,2.41783800e-02,9.40237146e-01,1.17969837e-01,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,3.47037486e-01,4.77630640e+00,1.91502586e-02,8.55418038e-01,7.26581289e-02,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,2.37216587e-01,4.94133199e+00,1.55956711e-02,7.85179666e-01,4.80066078e-02,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,1.80139983e-01,5.07736269e+00,1.29724721e-02,7.25897767e-01,3.54790457e-02,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,1.44178417e-01,5.18805756e+00,1.09833442e-02,6.75172403e-01,2.77904428e-02,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,1.19018288e-01,5.28090561e+00,9.43091702e-03,6.31213324e-01,2.25374769e-02,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,1.05036794e-01,5.35767938e+00,8.19642937e-03,5.92714708e-01,1.96049048e-02,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,9.33530662e-02,5.42616012e+00,7.19143076e-03,5.58726085e-01,1.72042594e-02,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,8.35744371e-02,5.48058035e+00,6.37030291e-03,5.28491869e-01,1.52491947e-02,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,7.55910734e-02,5.53146332e+00,5.68103250e-03,5.01393441e-01,1.36656557e-02,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,6.82353822e-02,5.57370610e+00,5.10213888e-03,4.76972306e-01,1.22423718e-02,false,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.50,1.14239733,6.15395093e-02,5.60863018e+00,4.61084844e-03,4.54845413e-01,1.09722887e-02,false,1.55000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.75,1.09272788,5.56386753e-02,5.64261299e+00,4.18609443e-03,4.34699996e-01,9.86044504e-03,false,1.62000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.00,1.04719755,5.07031914e-02,5.67065267e+00,3.81981131e-03,4.16277054e-01,8.94133257e-03,false,1.69000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.25,1.00530965,4.63956796e-02,5.69703608e+00,3.49947531e-03,3.99365869e-01,8.14382758e-03,false,1.76000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.50,0.96664389,4.27710140e-02,5.71577912e+00,3.22116546e-03,3.83786089e-01,7.48297181e-03,false,1.83000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.75,0.93084227,3.96173093e-02,5.73595484e+00,2.97342088e-03,3.69382272e-01,6.90683773e-03,false,1.90000000e+03,1.00000000e-02,2.50000000e-01,260,20
7.00,0.89759790,3.69345990e-02,5.76042042e+00,2.75050730e-03,3.56023352e-01,6.41178878e-03,false,1.97000000e+03,1.00000000e-02,2.50000000e-01,260,20
