T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,3.70231103e-02,2.70440580e-01,1.89570782e+00,2.02519396e+00,1.36899242e-01,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,6.66170544e-02,5.41461940e-01,1.94827856e+00,2.90505586e+00,1.23031832e-01,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,3.47494024e-02,1.44903204e+00,2.14624194e-01,1.57733277e+00,2.39811139e-02,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.91190923e-02,1.87587228e+00,3.27667726e-02,7.01234799e-01,1.01921077e-02,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,1.68670576e-02,2.39425198e+00,4.86214903e-03,3.05171558e-01,7.04481307e-03,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,1.20975976e-02,2.86894023e+00,6.06757782e-04,1.18008536e-01,4.21674786e-03,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,9.28982957e-02,,2.57115851e-05,2.49630319e-02,,true,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,2.30229341e-01,,1.56676871e-05,2.38983841e-02,,true,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,2.94520601e-01,,6.93088874e-05,5.00728079e-02,,true,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,3.45223747e-01,4.63342293e+00,1.11478616e-04,6.42823507e-02,7.45072816e-02,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,4.36666412e-01,4.79698381e+00,1.34228853e-04,7.17715059e-02,9.10293696e-02,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,7.22105347e-01,4.98702960e+00,1.42179138e-04,7.53154205e-02,1.44796684e-01,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,7.41327936e-01,5.16891344e+00,1.41738776e-04,7.65577149e-02,1.43420459e-01,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,6.26755225e-01,5.18623365e+00,1.40559871e-04,7.63662928e-02,1.20849786e-01,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,5.09281143e-01,5.24936486e+00,1.35178136e-04,7.53445077e-02,9.70176691e-02,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,4.21588408e-01,5.33372253e+00,1.27707094e-04,7.38189248e-02,7.90420584e-02,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,3.50759328e-01,5.43858501e+00,1.19210305e-04,7.20186295e-02,6.44945933e-02,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,2.92673753e-01,5.42960626e+00,1.12940857e-04,7.00413811e-02,5.39033105e-02,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,2.48009563e-01,5.41518521e+00,1.06809368e-04,6.80230850e-02,4.57989068e-02,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,2.15041895e-01,,9.77883049e-05,6.59920518e-02,,true,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.50,1.14239733,1.88383892e-01,,9.06351341e-05,6.39822747e-02,,true,1.55000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.75,1.09272788,1.66273075e-01,,8.67221302e-05,6.20279383e-02,,true,1.62000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.00,1.04719755,1.48104851e-01,,7.99002208e-05,6.01414377e-02,,true,1.69000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.25,1.00530965,1.32889480e-01,,7.53060222e-05,5.83201812e-02,,true,1.76000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.50,0.96664389,1.20631452e-01,,7.12170479e-05,5.65706686e-02,,true,1.83000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.75,0.93084227,1.09888095e-01,,6.67617263e-05,5.49028781e-02,,true,1.90000000e+03,1.00000000e-02,2.50000000e-01,260,20
7.00,0.89759790,1.00760259e-01,,6.20745961e-05,5.33193341e-02,,true,1.97000000e+03,1.00000000e-02,2.50000000e-01,260,20
