T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked
0.50,12.56637061,nan,2.71368052e-01,1.86649222e+00,2.01297065e+00,,false
0.75,8.37758041,nan,5.44836416e-01,1.84861944e+00,2.83858442e+00,,false
1.00,6.28318531,nan,1.45993687e+00,1.89375794e-01,1.48721674e+00,,false
1.25,5.02654825,nan,1.89223689e+00,2.79356961e-02,6.50298114e-01,,false
1.50,4.18879020,nan,2.42416790e+00,3.88054914e-03,2.74329768e-01,,false
1.75,3.59039160,nan,2.92564519e+00,4.08450105e-04,9.77744377e-02,,false
2.00,3.14159265,nan,,5.96103665e-06,1.17034936e-02,,true
2.25,2.79252680,nan,,3.82882853e-05,3.51739571e-02,,true
2.50,2.51327412,nan,4.29146581e+00,1.01297215e-04,5.89720975e-02,,false
2.75,2.28479466,nan,4.51835458e+00,1.41805401e-04,7.15948090e-02,,false
3.00,2.09439510,nan,4.69493282e+00,1.61790805e-04,7.79536765e-02,,false
3.25,1.93328779,nan,4.84582704e+00,1.67819294e-04,8.06584539e-02,,false
3.50,1.79519580,nan,4.98301249e+00,1.65625383e-04,8.12558110e-02,,false
3.75,1.67551608,nan,5.12821646e+00,1.58180909e-04,8.05573556e-02,,false
4.00,1.57079633,nan,5.16714368e+00,1.51462913e-04,7.91267658e-02,,false
4.25,1.47839654,nan,5.24169171e+00,1.42364551e-04,7.72647958e-02,,false
4.50,1.39626340,nan,5.37437701e+00,1.31469649e-04,7.51833736e-02,,false
4.75,1.32277585,nan,5.38214199e+00,1.23659722e-04,7.29687156e-02,,false
5.00,1.25663706,nan,5.36676572e+00,1.16575421e-04,7.07464755e-02,,false
5.25,1.19679720,nan,5.55336699e+00,1.05737967e-04,6.85391411e-02,,false
5.50,1.14239733,nan,,9.95615114e-05,6.63749388e-02,,true
5.75,1.09272788,nan,,9.29162597e-05,6.42845706e-02,,true
6.00,1.04719755,nan,,8.58783222e-05,6.22771985e-02,,true
6.25,1.00530965,nan,,8.25890975e-05,6.03481327e-02,,true
6.50,0.96664389,nan,,7.72433011e-05,5.85011482e-02,,true
6.75,0.93084227,nan,,7.14503059e-05,5.67452484e-02,,true
7.00,0.89759790,nan,,6.58628209e-05,5.50815167e-02,,true
