T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,P_converted_W,P_injected_W,eta,masked,linear_popt_invalid,reactive_cancellation_limited,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,3.05833614e-01,2.74018656e-01,1.19835659e+01,5.12540390e+00,3.69330976e-01,6.34973623e-02,1.11610508e+00,false,true,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,5.58687285e-01,5.50462618e-01,1.94534280e+01,9.25565120e+00,6.25387592e-01,6.67003058e-02,1.01494137e+00,false,true,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,1.52839305e+00,1.48603119e+00,4.66974913e+00,7.45084847e+00,3.15524364e+00,1.62685060e+00,1.02850671e+00,false,true,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.82241170e+00,1.93597743e+00,1.86177539e+00,5.36980829e+00,5.74223499e+00,3.91982329e+00,9.41339332e-01,false,false,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,1.40822585e+00,2.49641182e+00,8.75154275e-01,4.18066547e+00,6.40041041e+00,4.99218455e+00,5.64099977e-01,false,false,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,7.84618186e-01,3.06603986e+00,4.80707958e-01,3.43379645e+00,4.72946226e+00,3.94484408e+00,2.55906062e-01,false,false,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,4.25857648e-01,3.56137729e+00,3.00669462e-01,2.92683774e+00,3.15957047e+00,2.73371283e+00,1.19576673e-01,false,false,false,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,2.45333385e-01,3.96411088e+00,2.06413586e-01,2.55850947e+00,2.11901956e+00,1.87368618e+00,6.18886284e-02,false,false,false,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,1.47822055e-01,4.28500225e+00,1.51257639e-01,2.27708466e+00,1.42674723e+00,1.27892517e+00,3.44975444e-02,false,false,false,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,9.26820179e-02,4.54038697e+00,1.16148750e-01,2.05399176e+00,9.68120034e-01,8.75438016e-01,2.04128015e-02,false,false,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,6.05257490e-02,4.74608656e+00,9.23138543e-02,1.87217423e+00,6.63974337e-01,6.03448588e-01,1.27527697e-02,false,false,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,4.00011413e-02,4.90960606e+00,7.53926365e-02,1.72080945e+00,4.46532858e-01,4.06531716e-01,8.14752565e-03,false,false,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,2.72692027e-02,5.04452998e+00,6.28545253e-02,1.59266202e+00,2.98914156e-01,2.71644953e-01,5.40569742e-03,false,false,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,1.86124477e-02,5.15554073e+00,5.33004275e-02,1.48268007e+00,1.90916453e-01,1.72304005e-01,3.61018343e-03,false,false,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,1.29485654e-02,5.24620007e+00,4.58471045e-02,1.38714983e+00,1.15233837e-01,1.02285272e-01,2.46817987e-03,false,false,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,9.05887151e-03,5.32606374e+00,3.98688216e-02,1.30336145e+00,6.04914532e-02,5.14325818e-02,1.70085676e-03,false,false,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,6.30226955e-03,5.39196801e+00,3.50295074e-02,1.22923711e+00,2.05641350e-02,1.42618653e-02,1.16882547e-03,false,false,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,4.37744817e-03,5.44718347e+00,3.10491308e-02,1.16320355e+00,1.30000593e-02,8.62261112e-03,8.03616803e-04,false,false,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,3.02538480e-03,5.49702844e+00,2.77126316e-02,1.10394610e+00,3.24070506e-02,2.93816657e-02,5.50367318e-04,false,false,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,2.05068390e-03,5.54071077e+00,2.48962100e-02,1.05049588e+00,4.65676621e-02,4.45169782e-02,3.70112064e-04,false,false,false,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.50,1.14239733,1.33770856e-03,5.58060378e+00,2.24899809e-02,1.00202863e+00,5.65339028e-02,5.51961942e-02,2.39706779e-04,false,false,false,1.55000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.75,1.09272788,8.21455021e-04,5.60765790e+00,2.04521495e-02,9.57867037e-01,6.33215830e-02,6.25001279e-02,1.46488077e-04,false,false,false,1.62000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.00,1.04719755,4.45781470e-04,5.63554232e+00,1.86699744e-02,9.17454874e-01,6.78595973e-02,6.74138158e-02,7.91017874e-05,false,false,true,1.69000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.25,1.00530965,1.71884537e-04,5.66285374e+00,1.71070450e-02,8.80339452e-01,7.08437240e-02,7.06718395e-02,3.03529890e-05,false,false,true,1.76000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.50,0.96664389,-2.70723300e-05,5.68098285e+00,1.57528242e-02,8.46127763e-01,7.26968977e-02,7.27239700e-02,-4.76543068e-06,false,false,true,1.83000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.75,0.93084227,-1.73232616e-04,5.70281358e+00,1.45407768e-02,8.14485551e-01,7.36563138e-02,7.38295464e-02,-3.03766928e-05,false,false,true,1.90000000e+03,1.00000000e-02,2.50000000e-01,260,20
7.00,0.89759790,-2.80204141e-04,5.73105825e+00,1.34448992e-02,7.85129291e-01,7.38973365e-02,7.41775406e-02,-4.88922166e-05,false,false,true,1.97000000e+03,1.00000000e-02,2.50000000e-01,260,20
