T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,P_converted_W,P_injected_W,eta,masked,linear_popt_invalid,reactive_cancellation_limited,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,3.16906762e-01,2.67545620e-01,2.10156888e+00,2.12087821e+00,4.01324687e-01,8.44179230e-02,,false,true,false,1.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
0.75,8.37758041,5.63494031e-01,5.42553127e-01,2.79216841e+00,3.48126379e+00,5.85472417e-01,2.19783872e-02,,false,true,false,2.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.00,6.28318531,1.52830584e+00,1.47141626e+00,5.73378486e-01,2.59796601e+00,2.24649801e+00,7.18192172e-01,,false,true,false,2.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.25,5.02654825,1.99952800e+00,1.92286937e+00,1.15001427e-01,1.33006082e+00,4.11712177e+00,2.11759377e+00,,false,true,false,3.60000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.50,4.18879020,2.44488972e+00,2.49127255e+00,2.64482416e-02,7.26029080e-01,7.12219542e+00,4.67730570e+00,9.81381873e-01,false,false,false,4.30000000e+02,1.00000000e-02,2.50000000e-01,260,20
1.75,3.59039160,2.16833433e+00,3.07976243e+00,7.30780994e-03,4.24323636e-01,8.48318994e+00,6.31485561e+00,7.04058959e-01,false,false,false,5.00000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.00,3.14159265,1.44131239e+00,3.60740948e+00,2.41521186e-03,2.64009972e-01,7.08343443e+00,5.64212202e+00,3.99542221e-01,false,false,false,5.70000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.25,2.79252680,9.13831514e-01,4.06557725e+00,9.13787229e-04,1.72396579e-01,5.35010054e+00,4.43626902e+00,2.24772882e-01,false,false,false,6.40000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.50,2.51327412,5.88553400e-01,4.46961991e+00,3.80465162e-04,1.16637375e-01,3.95112967e+00,3.36257627e+00,1.31678624e-01,false,false,false,7.10000000e+02,1.00000000e-02,2.50000000e-01,260,20
2.75,2.28479466,3.91801353e-01,4.76755238e+00,1.71622182e-04,8.09057595e-02,2.93776301e+00,2.54596166e+00,8.21808176e-02,false,false,false,7.80000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.00,2.09439510,2.68804712e-01,,7.90090789e-05,5.70382262e-02,2.19926474e+00,1.93046003e+00,,true,false,false,8.50000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.25,1.93328779,1.88000800e-01,,3.64892801e-05,4.06081342e-02,1.64586432e+00,1.45786352e+00,,true,false,false,9.20000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.50,1.79519580,1.35467997e-01,,1.83050962e-05,2.89342303e-02,1.24810296e+00,1.11263497e+00,,true,false,false,9.90000000e+02,1.00000000e-02,2.50000000e-01,260,20
3.75,1.67551608,9.88917606e-02,,7.61662072e-06,2.05115098e-02,9.44013350e-01,8.45121589e-01,,true,false,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.00,1.57079633,7.34166143e-02,,3.28395623e-06,1.42789606e-02,7.15140005e-01,6.41723391e-01,,true,false,false,1.13000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.25,1.47839654,5.54926692e-02,,4.85328905e-07,9.60894288e-03,5.42875330e-01,4.87382661e-01,,true,false,false,1.20000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.50,1.39626340,4.22664591e-02,,1.69954215e-07,6.04680559e-03,4.07897138e-01,3.65630679e-01,,true,false,false,1.27000000e+03,1.00000000e-02,2.50000000e-01,260,20
4.75,1.32277585,3.24967344e-02,,9.83085924e-07,3.34523119e-03,3.02867827e-01,2.70371092e-01,,true,false,false,1.34000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.00,1.25663706,2.52735268e-02,,4.20106573e-07,1.22876081e-03,2.21674895e-01,1.96401369e-01,,true,false,false,1.41000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.25,1.19679720,1.98467177e-02,,-5.00539177e-07,4.17085000e-04,1.58107163e-01,1.38260445e-01,,true,false,false,1.48000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.50,1.14239733,1.56705834e-02,,2.89848302e-07,1.69574699e-03,1.07666004e-01,9.19954209e-02,,true,false,false,1.55000000e+03,1.00000000e-02,2.50000000e-01,260,20
5.75,1.09272788,1.24256426e-02,,3.83949784e-07,2.70753341e-03,6.75825054e-02,5.51568629e-02,,true,false,false,1.62000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.00,1.04719755,9.89506342e-03,,2.77391704e-07,3.50853116e-03,3.58623916e-02,2.59673282e-02,,true,false,false,1.69000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.25,1.00530965,7.92216582e-03,,4.68669459e-07,4.13465905e-03,1.12460332e-02,3.32386747e-03,,true,false,false,1.76000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.50,0.96664389,6.36984310e-03,,2.18432373e-07,4.62136613e-03,1.62853922e-02,9.91554893e-03,,true,false,false,1.83000000e+03,1.00000000e-02,2.50000000e-01,260,20
6.75,0.93084227,5.13975620e-03,,7.13789264e-07,5.00989329e-03,3.07880311e-02,2.56482749e-02,,true,false,false,1.90000000e+03,1.00000000e-02,2.50000000e-01,260,20
7.00,0.89759790,4.15579085e-03,,1.66072911e-06,5.32552518e-03,4.24375411e-02,3.82817505e-02,,true,false,false,1.97000000e+03,1.00000000e-02,2.50000000e-01,260,20
