T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked
0.50,12.56637061,2.07742999e-01,2.76713480e-01,1.70586934e+00,1.94326949e+00,7.50751280e-01,false
0.75,8.37758041,3.06401151e-01,5.48950154e-01,1.39187654e+00,2.47236056e+00,5.58158421e-01,false
1.00,6.28318531,2.63937565e-01,1.46111229e+00,1.18338337e-01,1.17611428e+00,1.80641534e-01,false
1.25,5.02654825,1.90030712e-01,1.88355075e+00,1.52170948e-02,4.78850043e-01,1.00889616e-01,false
1.50,4.18879020,1.48841732e-01,2.37811966e+00,1.50667187e-03,1.69305546e-01,6.25879910e-02,false
1.75,3.59039160,1.24115920e-01,,3.74912563e-05,2.74382718e-02,,true
2.00,3.14159265,1.06834434e-01,,5.94131436e-05,4.22183528e-02,,true
2.25,2.79252680,9.00996811e-02,4.04075451e+00,1.76494636e-04,7.55339127e-02,2.22977369e-02,false
2.50,2.51327412,6.41159004e-02,4.33400113e+00,2.43143513e-04,9.18165239e-02,1.47936972e-02,false
2.75,2.28479466,1.26064212e-01,4.56765919e+00,2.69076092e-04,9.91583737e-02,2.75993034e-02,false
3.00,2.09439510,4.78850386e-01,4.75759114e+00,2.71514349e-04,1.01656451e-01,1.00649756e-01,false
3.25,1.93328779,3.79380718e-01,4.89742476e+00,2.62649306e-04,1.01441814e-01,7.74653490e-02,false
3.50,1.79519580,2.46308232e-01,5.03325541e+00,2.47144324e-04,9.97573259e-02,4.89361679e-02,false
3.75,1.67551608,1.56796107e-01,5.14157200e+00,2.29865104e-04,9.72365356e-02,3.04957525e-02,false
4.00,1.57079633,1.06684091e-01,5.22436057e+00,2.12831997e-04,9.43148385e-02,2.04205070e-02,false
4.25,1.47839654,7.65854109e-02,5.29057388e+00,1.96569748e-04,9.12125769e-02,1.44758230e-02,false
4.50,1.39626340,5.65894525e-02,5.36334204e+00,1.80823180e-04,8.80825323e-02,1.05511549e-02,false
4.75,1.32277585,4.33892120e-02,5.42822112e+00,1.66273679e-04,8.49738922e-02,7.99326539e-03,false
5.00,1.25663706,3.44273301e-02,5.46419521e+00,1.53727115e-04,8.19753605e-02,6.30053079e-03,false
5.25,1.19679720,2.74612264e-02,5.50892315e+00,1.41934654e-04,7.90901814e-02,4.98486286e-03,false
5.50,1.14239733,2.31152317e-02,5.55517717e+00,1.31098579e-04,7.63295922e-02,4.16102512e-03,false
5.75,1.09272788,1.91432816e-02,5.56943705e+00,1.21937173e-04,7.37086920e-02,3.43720225e-03,false
6.00,1.04719755,1.59096370e-02,5.56801244e+00,1.13890145e-04,7.12259360e-02,2.85732785e-03,false
6.25,1.00530965,1.37563786e-02,5.58592247e+00,1.06138840e-04,6.88699256e-02,2.46268699e-03,false
6.50,0.96664389,1.18631347e-02,,9.89496642e-05,6.66371628e-02,,true
6.75,0.93084227,1.03486542e-02,,9.19142971e-05,6.45296003e-02,,true
7.00,0.89759790,8.95974567e-03,,8.51985784e-05,6.25433277e-02,,true
