flap_angle,design_omega,omega_n,I_hinge,A55_w0,B55_w0,Fexc55_w0,K_r,B_r,P_opt_W
0,0.9929,0.9930711751343242,0.6788,5.98318512878204,0.06457727759147798,68.92471516429445,-0.0022792293763238547,0.06457727759147798,5.747252238013354
10,1.07,1.3528156563256926,0.6788,2.8998822682010696,0.019559792776465086,37.50767116377971,-2.472766671136596,0.019559792776465086,5.619089901858224
20,1.07,1.4428298657887593,0.6788,2.4641958284260643,0.014549730039653283,32.41140018586378,-2.971584076034999,0.014549730039653283,5.640669852342305
45,1.6396,1.6830796509286297,0.6788,1.6391622857921122,0.019124056162874225,35.679740374084986,-0.3386494317785287,0.019124056162874225,5.20059927369729
90,1.07,1.9279506398774724,0.6788,1.072463483487471,0.00400266048163652,17.020090474533138,-4.564978437755196,0.00400266048163652,5.654119793617367
