T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,7.07694730e-03,2.71144290e-01,1.60061571e+01,5.89235307e+00,2.61003000e-02,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,1.84490140e-02,5.55896547e-01,3.83433029e+01,1.30583030e+01,3.31878550e-02,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,1.96418836e-02,1.50763915e+00,1.65383656e+01,1.41234238e+01,1.30282393e-02,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,1.98513491e-02,1.96485067e+00,7.08081222e+00,1.05499720e+01,1.01032355e-02,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,2.00490288e-02,2.53344617e+00,3.40833565e+00,8.31135845e+00,7.91373783e-03,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,2.07226059e-02,3.11096424e+00,1.87910361e+00,6.83861046e+00,6.66115208e-03,false,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,2.18944400e-02,3.61311036e+00,1.17429177e+00,5.82604207e+00,6.05972079e-03,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,2.34174493e-02,4.02175343e+00,8.04900511e-01,5.08889881e+00,5.82269642e-03,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,2.54661555e-02,4.34683863e+00,5.89062513e-01,4.52597807e+00,5.85854633e-03,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,2.81061834e-02,4.60529938e+00,4.51877236e-01,4.08022544e+00,6.10300896e-03,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,3.15276247e-02,4.81307749e+00,3.58891325e-01,3.71738807e+00,6.55040871e-03,false,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,3.65106226e-02,4.97982629e+00,2.92859826e-01,3.41571786e+00,7.33170607e-03,false,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,4.33754445e-02,5.11694909e+00,2.44009386e-01,3.16048554e+00,8.47681768e-03,false,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,5.50715967e-02,5.22810370e+00,2.06884184e-01,2.94158048e+00,1.05337614e-02,false,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,8.01874930e-02,5.32211721e+00,1.77820110e-01,2.75155152e+00,1.50668409e-02,false,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,4.17239637e-01,5.40124206e+00,1.54640898e-01,2.58496100e+00,7.72488314e-02,false,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,3.22217029e-01,5.47000438e+00,1.35788694e-01,2.43764600e+00,5.89061738e-02,false,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,2.50078952e-01,5.52426034e+00,1.20371443e-01,2.30644868e+00,4.52692192e-02,false,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,1.95393830e-01,5.57592336e+00,1.07397479e-01,2.18877155e+00,3.50424167e-02,false,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,1.53625206e-01,5.61872369e+00,9.64941486e-02,2.08264055e+00,2.73416553e-02,false,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,1.21210594e-01,5.65454208e+00,8.72280041e-02,1.98642275e+00,2.14359699e-02,false,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,9.58798013e-02,5.68636167e+00,7.92533652e-02,1.89876444e+00,1.68613618e-02,false,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,7.60980278e-02,5.71712107e+00,7.23087572e-02,1.81856629e+00,1.33105503e-02,false,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,6.06857998e-02,5.74046565e+00,6.62996305e-02,1.74491433e+00,1.05715814e-02,false,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,4.86792676e-02,5.76089562e+00,6.10247700e-02,1.67703865e+00,8.44994785e-03,false,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,3.92963291e-02,5.78012783e+00,5.63537661e-02,1.61426633e+00,6.79852250e-03,false,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,3.19262497e-02,5.80088501e+00,5.21738612e-02,1.55603231e+00,5.50368601e-03,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
