T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,2.94978398e-02,2.93374620e-01,8.60779819e+00,4.49471647e+00,1.00546666e-01,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,3.02240107e-02,5.74147738e-01,7.69845632e+00,5.94646200e+00,5.26415218e-02,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,2.77485216e-02,1.50398247e+00,1.20506591e+00,3.80777942e+00,1.84500299e-02,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,2.69728780e-02,1.95496613e+00,4.34540564e-01,2.60693243e+00,1.37971076e-02,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,2.89968199e-02,2.51784801e+00,1.93993593e-01,1.97675771e+00,1.15165092e-02,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,3.46636255e-02,3.09000420e+00,1.03786957e-01,1.60175437e+00,1.12179865e-02,false,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,4.64027463e-02,3.58751203e+00,6.39322422e-02,1.35457060e+00,1.29345201e-02,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,7.39253365e-02,3.99235989e+00,4.34604086e-02,1.17816668e+00,1.85167015e-02,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,2.28947572e-01,4.31438732e+00,3.16367414e-02,1.04496184e+00,5.30660683e-02,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,3.91987653e-01,4.57043593e+00,2.41783800e-02,9.40237146e-01,8.57659224e-02,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,2.05633688e-01,4.77630640e+00,1.91502586e-02,8.55418038e-01,4.30528678e-02,false,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,1.05862964e-01,4.94133199e+00,1.55956711e-02,7.85179666e-01,2.14239732e-02,false,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,5.64457727e-02,5.07736269e+00,1.29724721e-02,7.25897767e-01,1.11171441e-02,false,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,3.15594837e-02,5.18805756e+00,1.09833442e-02,6.75172403e-01,6.08310207e-03,false,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,1.91088545e-02,5.28090561e+00,9.43091702e-03,6.31213324e-01,3.61848060e-03,false,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,1.23816308e-02,5.35767938e+00,8.19642937e-03,5.92714708e-01,2.31100630e-03,false,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,8.52399508e-03,5.42616012e+00,7.19143076e-03,5.58726085e-01,1.57090740e-03,false,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,6.27688739e-03,5.48058035e+00,6.37030291e-03,5.28491869e-01,1.14529612e-03,false,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,4.97757229e-03,5.53146332e+00,5.68103250e-03,5.01393441e-01,8.99865370e-04,false,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,4.37034390e-03,5.57370610e+00,5.10213888e-03,4.76972306e-01,7.84100171e-04,false,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,4.42020096e-03,5.60863018e+00,4.61084844e-03,4.54845413e-01,7.88107045e-04,false,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,5.14367359e-03,5.64261299e+00,4.18609443e-03,4.34699996e-01,9.11576533e-04,false,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,5.75290877e-03,5.67065267e+00,3.81981131e-03,4.16277054e-01,1.01450558e-03,false,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,4.41908837e-03,5.69703608e+00,3.49947531e-03,3.99365869e-01,7.75682005e-04,false,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,2.86028488e-03,5.71577912e+00,3.22116546e-03,3.83786089e-01,5.00419072e-04,false,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,1.92633809e-03,5.73595484e+00,2.97342088e-03,3.69382272e-01,3.35835644e-04,false,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,1.37984697e-03,5.76042042e+00,2.75050730e-03,3.56023352e-01,2.39539282e-04,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
