T_s,omega_rads,P_capture_W,P_opt_W,B55_Nmsrad,F_exc_Nm,eta,masked,duration_s,dt_s,period_step_s,n_settle,n_avg
0.50,12.56637061,1.48809541e-02,2.73231301e-01,1.13697632e+01,4.98523838e+00,5.44628453e-02,false,8.50000000e+01,1.00000000e-02,2.50000000e-01,130,20
0.75,8.37758041,2.24603369e-02,5.48849185e-01,1.68950987e+01,8.61294893e+00,4.09226023e-02,false,1.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.00,6.28318531,2.23448834e-02,1.49048191e+00,3.68369699e+00,6.62750857e+00,1.49917173e-02,false,1.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.25,5.02654825,2.18940040e-02,1.94117134e+00,1.43180652e+00,4.71540605e+00,1.12787591e-02,false,1.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
1.50,4.18879020,2.24174949e-02,2.50318359e+00,6.64455655e-01,3.64774395e+00,8.95559357e-03,false,2.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
1.75,3.59039160,2.41841687e-02,3.07430031e+00,3.62639128e-01,2.98645152e+00,7.86656027e-03,false,2.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.00,3.14159265,2.73454223e-02,3.57137935e+00,2.25951293e-01,2.54079953e+00,7.65682376e-03,false,3.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.25,2.79252680,3.24088851e-02,3.97597211e+00,1.54725293e-01,2.21843810e+00,8.15118522e-03,false,3.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
2.50,2.51327412,4.08033819e-02,4.29748303e+00,1.13208962e-01,1.97284281e+00,9.49471623e-03,false,3.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
2.75,2.28479466,5.62631978e-02,4.55358859e+00,8.68289956e-02,1.77850167e+00,1.23557930e-02,false,4.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.00,2.09439510,9.35959591e-02,4.76086459e+00,6.89389452e-02,1.62039250e+00,1.96594458e-02,false,4.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.25,1.93328779,4.97227922e-01,4.92637179e+00,5.62477929e-02,1.48888560e+00,1.00931871e-01,false,4.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
3.50,1.79519580,3.29386976e-01,5.06130514e+00,4.68742844e-02,1.37766486e+00,6.50794542e-02,false,5.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
3.75,1.67551608,2.16721734e-01,5.17228419e+00,3.97363384e-02,1.28227184e+00,4.19005851e-02,false,5.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.00,1.57079633,1.43449800e-01,5.26410959e+00,3.41606091e-02,1.19941716e+00,2.72505345e-02,false,6.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.25,1.47839654,9.55187001e-02,5.33934324e+00,2.97255057e-02,1.12681739e+00,1.78895973e-02,false,6.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
4.50,1.39626340,6.35808377e-02,5.41158073e+00,2.60816016e-02,1.06261072e+00,1.17490325e-02,false,6.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
4.75,1.32277585,4.29876996e-02,5.46375620e+00,2.31271783e-02,1.00543031e+00,7.86779242e-03,false,7.22500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.00,1.25663706,2.98590882e-02,5.51580792e+00,2.06312983e-02,9.54141619e-01,5.41336621e-03,false,7.60000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.25,1.19679720,2.12943184e-02,5.55622848e+00,1.85434783e-02,9.07884583e-01,3.83251310e-03,false,7.97500000e+02,1.00000000e-02,2.50000000e-01,130,20
5.50,1.14239733,1.55670312e-02,5.59150737e+00,1.67634217e-02,8.65945940e-01,2.78404912e-03,false,8.35000000e+02,1.00000000e-02,2.50000000e-01,130,20
5.75,1.09272788,1.16871865e-02,5.62508754e+00,1.52253182e-02,8.27737871e-01,2.07768971e-03,false,8.72500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.00,1.04719755,9.05758988e-03,5.66083338e+00,1.38782269e-02,7.92779061e-01,1.60004531e-03,false,9.10000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.25,1.00530965,7.27926173e-03,5.68293852e+00,1.27272946e-02,7.60675661e-01,1.28089750e-03,false,9.47500000e+02,1.00000000e-02,2.50000000e-01,130,20
6.50,0.96664389,6.09197358e-03,5.70431663e+00,1.17124487e-02,7.31089684e-01,1.06795853e-03,false,9.85000000e+02,1.00000000e-02,2.50000000e-01,130,20
6.75,0.93084227,5.35862621e-03,5.72086818e+00,1.08207675e-02,7.03728268e-01,9.36680595e-04,false,1.02250000e+03,1.00000000e-02,2.50000000e-01,130,20
7.00,0.89759790,5.07409773e-03,5.73564979e+00,1.00283311e-02,6.78345017e-01,8.84659615e-04,false,1.06000000e+03,1.00000000e-02,2.50000000e-01,130,20
